product_id,product_number,name,gender_category,size_gender,price_group,price_krw,base_price_krw,promo_price_krw,price_flags,available_sizes_count,availability_status,availability_label,rating_average,rating_count,image_url,detail_url,sales,store_stock_only
E444557-000,,감탄재킷(라이트),MEN,MEN,00,79900,79900,79900,"[{""code"": ""discount"", ""name"": ""2026/06/30부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",7,available,판매중,4.8,60,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/444557/item/krgoods_32_444557_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E444557-000/00?colorDisplayCode=32,True,False
E444557-001,,감탄재킷(라이트),MEN,MEN,00,79900,79900,79900,"[{""code"": ""discount"", ""name"": ""2026/06/30부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",3,available,판매중,5,1,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/444557001/item/goods_69_444557001_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E444557-001/00?colorDisplayCode=69,True,False
E444812-000,,BN코튼메쉬이너바디수트(슬리브리스·1P·무지),BABY,BABY,00,7900,7900,7900,"[{""code"": ""limitedOffer"", ""name"": ""2026/07/03부터 2026/07/09까지 기간한정가격"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",3,available,판매중,4.5,12,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/444812/item/goods_41_444812_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E444812-000/00?colorDisplayCode=41,True,False
E448034-000,,감탄재킷,MEN,MEN,00,79900,79900,79900,"[{""code"": ""limitedOffer"", ""name"": ""2026/07/03부터 2026/07/09까지 기간한정가격"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",7,available,판매중,4.7,301,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/448034/item/krgoods_09_448034_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E448034-000/00?colorDisplayCode=09,True,False
E450251-000,,슬림핏치노팬츠,MEN,MEN,00,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/07/07부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",8,available,판매중,4.6,164,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/450251/item/krgoods_32_450251_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E450251-000/00?colorDisplayCode=32,True,False
E451648-000,,스웨트팬츠(다리길이65cm~71cm),MEN,MEN,01,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/06/09부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}, {""code"": ""colorSizeLimitedPrice"", ""name"": ""옵션할인"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",1,available,판매중,4.6,196,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/451648/item/krgoods_69_451648_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E451648-000/01?colorDisplayCode=08,True,False
E453754-000,,워셔블밀라노립크루넥스웨터,UNISEX,MEN,01,29900,29900,29900,"[{""code"": ""discount"", ""name"": ""2026/06/30부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}, {""code"": ""colorSizeLimitedPrice"", ""name"": ""옵션할인"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",1,available,판매중,4.8,329,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/453754/item/krgoods_64_453754_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E453754-000/01?colorDisplayCode=64,True,False
E454063-000,,GIRLS AIRism코튼블렌드캐미솔,KIDS,KIDS,00,7900,7900,7900,"[{""code"": ""limitedOffer"", ""name"": ""2026/07/03부터 2026/07/09까지 기간한정가격"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",6,available,판매중,4.8,39,https://image.uniqlo.com/UQ/ST3/AsianCommon/imagesgoods/454063/item/goods_70_454063_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E454063-000/00?colorDisplayCode=70,True,False
E454312-000,,AIRism크루넥T,MEN,MEN,00,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/06/30부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",1,available,판매중,4.8,317,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/454312/item/krgoods_02_454312_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E454312-000/00?colorDisplayCode=02,True,False
E455365-000,,SUPIMA COTTON T,UNISEX,MEN,01,12900,12900,12900,"[{""code"": ""discount"", ""name"": ""2026/06/30부터 가격인하"", ""type"": ""price_flag"", ""flag_color"": ""discount""}, {""code"": ""colorSizeLimitedPrice"", ""name"": ""옵션할인"", ""type"": ""price_flag"", ""flag_color"": ""discount""}]",8,available,판매중,4.7,350,https://image.uniqlo.com/UQ/ST3/kr/imagesgoods/455365/item/krgoods_51_455365_3x4.jpg,https://www.uniqlo.com/kr/ko/products/E455365-000/01?colorDisplayCode=51,True,False
